# 改良版(長笛運用)を適用した自動検出。学習=2026 L1 final 1st, p>=0.70。正解なし。
# mm:ss	seconds	f0(Hz)	label	verified	note
3:17.40	197.40	2391	whistle	auto	p=0.76
4:03.05	243.05	1969	whistle	auto	p=0.90
5:20.68	320.68	2098	whistle	auto	p=0.85
18:30.76	1110.76	1887	whistle	auto	p=0.85
19:10.53	1150.53	1887	whistle	auto	p=1.00
22:06.46	1326.46	1945	whistle	auto	p=0.95
24:42.52	1482.52	2027	whistle	auto	p=0.91
29:23.71	1763.71	2039	whistle	auto	p=0.97
31:52.79	1912.79	2086	whistle	auto	p=0.90
33:37.22	2017.22	1816	whistle	auto	p=0.95
35:31.29	2131.29	1734	whistle	auto	p=0.71
37:11.64	2231.64	1957	whistle	auto	p=0.95
40:27.41	2427.41	2156	whistle	auto	p=0.85
43:16.95	2596.95	1980	whistle	auto	p=0.93
55:10.66	3310.66	1969	whistle	auto	p=0.82
57:02.51	3422.51	2016	whistle	auto	p=0.96
58:07.59	3487.59	2109	whistle	auto	p=0.74
59:07.52	3547.52	1992	whistle	auto	p=0.84
62:25.34	3745.34	1945	whistle	auto	p=0.99
66:36.97	3996.97	2309	whistle	auto	p=0.85
68:08.28	4088.28	1887	whistle	auto	p=0.72
70:35.56	4235.56	1934	whistle	auto	p=0.75
79:28.47	4768.47	1969	whistle	auto	p=0.77
